CHLAMYDIA_CASES,SINGLE_PARENT_HOUSEHOLDS,LBW_BIRTHS,INJURY_DEATHS,DRUG_POISONING_DEATHS,LIMITED_TO_HEALTHYFOOD,PRIMARY_CARE_PHYSICIANS,PREMATURE_DEATHS,CHILD_TOTAL_DEATHS,DENTISTS,TEEN_BIRTHS,CHILDREN_IN_POVERTY,PREMATURE_TOTAL_DEATHS,MEDICARE_ENROLLEES,NOT_PROFICIENT_IN_ENGLISH,SEVERE_HOUSING_PROBLEMS,DRIVING_DEATHS,UNEMPLOYED,DIABETICS,UNINSURED_CHILDREN,MOTOR_VEHICLE_DEATHS,LABOR_FORCE,SOME_COLLEGE,PCT_NOT_PROFICIENT_IN_ENGLISH,SOME_COLLEGE_POPULATION,MAMMO_MEDICARE_ENROLLEES,DRIVE_ALONE,AGE_65_AND_GREATER,ALC_IMPAIRED_DRIVING_DEATHS,WORKERS,UNINSURED_ADULTS,HOUSEHOLDS,TEEN_POPULATION,UNINSURED,LIVE_BIRTHS,COHORT_SIZE,POPULATION,PCT_NO_SOCIAL_EMO_SUPPORT,PCT_RURAL,PCT_SEVERE_HOUSING_PROBLEMS,TEEN_BIRTH_RATE,HIV_RATE,GRADUATION_RATE,PCT_FOOD_INSECURITY,DRUG_POISONING_MORTALITY_RATE,DENTISTS_RATIO,FOOD_ENVIR_INDEX,PRIMARY_CARE_PHYS_RATIO,PCT_ALC_IMPAIRED,PCT_SINGLE_PARENT_HOUSEHOLDS,PCT_UNINSURED_CHILDREN,INJURY_DEATHS_RATE,CHLAMYDIA_RATE,OTHER_PCP_RATE_PREV,NON_HISPANIC,State,COUNTY,STATE_SHORT,VIOLENT_CRIME_RATE,HOMICIDE_RATE,FUND_AMOUNT,FUNDED_IND,ANNUAL_VIOLENT_CRIMES
141,3253,396,214,55,736.9575767,8,741,43,9,571,3218,741,3284,873,2680,69,1298,453,841,108,19920,5020,2.149134684,11584,285,14287,14.53479084,17,17711,6797,10871,9899,7552,4034,621,43819,22.6,86.74472424,16.17869001,57.6825942,1604,73,14.5,18.39188082,1045,8.104912606,732,24.63768116,29.92365008,7.425392901,99.3,321.2,529,81.10421327,ALABAMA,CHILTON,AL,692.2935386,4.681569663,0,0,301
63,1411,126,57,0,1611.534003,5,253,37,6,154,890,253,2282,4,590,26,447,441,197,45,4992,1292,0.030588055,2970,213,3511,19.62150664,9,4258,1755,3087,3364,1930,1086,158,13633,26.8,100,11.14258735,45.77883472,650,77.5,19.9,0,2288,5.999649346,181,34.61538462,45.70780693,6.261919898,80.7,462.9,1256,55.50664025,ALABAMA,CHOCTAW,AL,111.7101365,0,0,0,15.33333333
211,3073,270,95,0,2901.694996,12,403,13,7,291,1881,403,3628,13,1455,37,1160,561,384,58,9566,2734,0.053606037,5963,306,7362,17.22109614,10,8522,3586,6392,6942,3928,2098,451,25161,27.7,75.98033523,15.91033352,41.9187554,113,77.90909091,24.4,0,667,5.143735803,1945,27.02702703,48.07571965,5.896805897,72.3,821.2,840,53.41796875,ALABAMA,CLARKE,AL,491.4665284,8.105172721,0,0,128
63,1076,114,46,0,268.7410821,5,254,10,2,167,887,254,1941,145,795,13,470,231,232,20,5044,1420,1.11461296,3470,153,3999,18.5039077,4,4993,1934,3093,3207,2145,1069,166,13435,26.6,100,13.58974359,52.07358902,243,82.5,17.6,0,1291,7.462189551,203,30.76923077,34.78823149,7.236431691,65.5,454.5,937,80.11862917,ALABAMA,CLAY,AL,287.4182654,0,0,0,40
40,1091,106,63,10,80.38999127,3,279,37,1,186,869,279,1922,97,735,26,434,272,206,25,6272,1734,0.694941969,3685,168,4547,17.4622438,4,5737,1881,3589,3475,2065,1240,225,14832,24.5,100,13.62372567,53.52517986,142,92,13.4,9.726869504,655,8.443377688,686,15.38461539,30.39843968,5.671806167,85,269.6,798,92.82319073,ALABAMA,CLEBURNE,AL,284.17639,11.67224341,0,0,42.5
289,4330,413,164,20,3708.844615,22,636,45,16,551,2730,636,6236,1013,2195,47,1316,949,786,79,21256,7838,2.174753113,13193,554,17420,14.9496605,14,20739,6690,11934,11302,7385,4643,743,51252,22.7,47.19508289,11.59535129,48.7524332,234,84.77658143,15.1,6.019617935,470,7.391403319,2051,29.78723404,36.28288922,6.18800189,67.9,572,1369,72.05308508,ALABAMA,COFFEE,AL,343.8854343,3.310789864,0,0,170.3333333
326,3950,448,210,17,2770.284911,30,941,42,21,651,2969,941,8221,324,2970,51,1889,1363,581,79,24971,7365,0.630865688,13070,737,19159,17.79194064,7,21866,6198,11946,12241,6715,4402,656,54446,20.7,43.89468656,13.39950372,53.18192958,82,75.61890244,15.8,4.462352185,128,7.493693421,1718,13.7254902,33.06546124,4.674551452,77.1,598,2578,79.45570481,ALABAMA,COLBERT,AL,364.6719477,6.037300014,0,0,199.3333333
87,1441,139,78,10,1955.507812,5,271,10,2,174,1330,271,1839,28,665,33,502,312,179,45,4312,1072,0.225352113,2641,165,3400,19.20499191,8,3759,1868,3006,3177,2031,1120,155,12981,22.6,80.94950106,13.68312757,54.76864967,718,77.5,24.4,10.66268593,1269,4.776146729,124,24.24242424,47.93745842,5.851585486,116.5,663.9,329,50.84732824,ALABAMA,CONECUH,AL,603.5264881,10.66268593,0,0,76.5
75,949,86,58,0,752.8597844,14.5,221,37,9,115,650,221,1493,43,660,22,347,200,131,27,4243,772,0.399553986,2624,132,3511,17.87342696,12,4226,1355,2282,2364,1473,696,142,10966,22.6,100,14.47368421,48.6463621,193,47.5,17.8,0,650,6.946556973,117,54.54545455,41.58632778,5.595899188,101.2,700.1,457,65.77549734,ALABAMA,COOSA,AL,269.8062301,0,0,0,27.5
171,3341,301,156,13,1150.606434,20,638,30,13,579,2859,638,6179,203,2210,40,1245,896,468,80,16548,4201,0.571187395,8547,497,12047,19.11474114,11,14825,5028,8487,8363,5446,3182,526,37955,15.1,69.65179399,15.06989431,69.23352864,176,77.0418251,16.3,4.961074645,320,7.605558416,1780,27.5,39.36608931,5.257836198,83,449.3,1740,83.75597207,ALABAMA,COVINGTON,AL,311.8517031,4.197832392,0,0,116.5
77,1496,103,60,0,2202.067047,3,238,10,2,173,955,238,1800,156,735,18,466,275,278,34,6462,1441,1.193664397,3320,140,4713,16.66548321,5,5874,1987,3322,3225,2236,1161,163,14083,17.7,100,13.03191489,53.64341085,390,87.5,16.8,0,1321,6.181910691,657,27.77777778,45.03311258,8.112051357,86.1,553.5,2514,70.4921556,ALABAMA,CRENSHAW,AL,357.8664842,0,0,0,45.33333333
259,4974,638,318,40,2535.502139,46,1309,42,35,1016,4607,1309,10088,1088,4160,93,2447,1407,1139,181,38205,10636,1.441384153,19862,810,26365,16.86101442,22,32709,10947,18385,18191,11968,7000,1077,80440,16.7,73.23955924,13.30561331,55.85179484,1238,76.9275766,13.4,7.188129523,2302,8.172499789,1677,23.65591398,27.05466413,5.952443167,79.6,321.6,1893,92.62416283,ALABAMA,CULLMAN,AL,181.248767,3.054955047,0,0,147
289,3890,447,169,29,5167.723678,12,721,38,16,528,3403,721,5359,498,2165,45,1446,876,655,74,19859,8442,1.071290281,13445,491,18069,14.31686623,17,21586,6036,12293,10461,6623,5289,555,50444,17.1,50.88853953,11.07700179,50.47318612,790,76.56216216,16.6,8.361300442,452,6.796519184,599,37.77777778,31.64402506,5.148156881,68,577.5,2060,70.93396622,ALABAMA,DALE,AL,417.9437169,5.766414098,0,0,205
547,7526,598,178,15,5067.105731,29,825,41,14,919,6634,825,4813,75,3760,58,1986,776,524,83,14464,4292,0.185758514,9891,416,11167,14.77930198,30,13790,5416,11526,12325,5887,4686,620,42864,33.4,45.63897764,22.38761536,74.56389452,887,71.01290323,31.5,4.845117736,400,3.694419786,1469,51.72413793,65.29585285,4.445198507,80.8,1262.3,92,28.70175276,ALABAMA,DALLAS,AL,794.3195049,19.7034788,0,0,345.6666667
148,6145,587,274,57,1603.039231,25,1085,39,17,989,5417,1085,8177,3069,3670,58,2373,1160,1904,123,27998,7162,4.652114598,18363,685,23242,14.80585256,12,27458,12504,18219,16372,14262,6742,845,71080,26.2,90.1306445,14.15076152,60.40801368,1425,86.01183432,15.3,11.74773289,868,7.886899646,242,20.68965517,33.72852517,10.0258017,78.3,207.4,1134,81.00555532,ALABAMA,DEKALB,AL,169.3476085,2.679307502,0,0,119
400,5636,623,303,29,5201.940725,22,1076,55,11,794,3767,1076,8018,819,3205,85,2402,1128,1042,138,35119,12409,1.099830795,21975,708,29267,12.95935706,36,34134,8184,18647,18771,9088,7084,1124,80629,14.9,54.18836614,11.54538905,42.29929146,557,74.40302491,14.4,5.451138066,1349,7.620554952,488,42.35294118,30.22470102,5.405405405,78.1,499,280,74.11446182,ALABAMA,ELMORE,AL,142.7417296,6.203019179,0,0,113.6666667
216,4427,385,198,54,2903.320779,22,639,27,13,608,3176,639,5094,33,2035,61,1285,867,551,99,14404,4668,0.092181346,10193,462,10321,15.71300732,25,12589,5163,8744,8714,5665,3489,448,37994,20.5,63.51157389,14.74103586,69.77277944,331,76.53125,20.1,20.35255142,322,6.379222364,1662,40.98360656,50.62900275,6.114748641,104.2,567,661,61.00437711,ALABAMA,ESCAMBIA,AL,537.6955157,9.422477509,0,0,205
594,8497,777,407,89,9001.224579,75,1972,77,47,1303,7270,1972,13906,1160,5985,80,3275,2120,1254,154,45402,14348,1.182261993,26079,1089,33777,16.36428079,28,38988,13521,23676,23850,14631,8774,1381,104392,24.7,37.48348176,14.39220873,54.63312369,266,75.04199855,16,12.24967311,2257,7.088419066,1393,35,35.88866363,5.067690443,78.2,569.5,2062,78.97083357,ALABAMA,ETOWAH,AL,434.6534748,7.432385934,0,0,453.6666667
61,1258,124,100,13,229.2411441,17,335,14,5,196,1008,335,2501,15,685,14,513,370,193,52,6443,1478,0.092199889,3801,212,5400,18.37131249,3,6379,2049,3761,3960,2223,1297,200,16983,28.2,80.23316513,9.560362875,49.4949495,1571,82.5,16.7,10.5319442,569,7.703609764,1094,21.42857143,33.44855092,4.96399177,114.4,355,656,85.73524234,ALABAMA,FAYETTE,AL,138.9350919,0,0,0,23.66666667
89,2508,278,145,31,1155.260337,16,573,22,7,481,2437,573,4515,1651,1760,35,1071,693,582,65,13126,3702,5.611637946,8186,400,10535,15.48439911,14,12962,5150,7744,7294,5679,3286,403,31761,24.3,70.36651527,14.23372422,65.94461201,1134,85.43300248,15.5,14.1794663,969,7.70317954,1847,40,32.38636364,7.117524765,92.4,279.1,871,79.36827534,ALABAMA,FRANKLIN,AL,275.8929237,0,0,0,86.33333333
115,2557,187,118,10,249.2305715,5,448,17,2,317,2098,448,4121,319,1530,27,757,616,350,60,10913,3204,1.264869152,6348,332,8745,18.33574691,7,10685,3737,5912,6059,4051,2162,312,26931,24.4,89.64165734,14.27238806,52.3188645,244,76.57852564,15.3,5.421758602,490,8.023975343,724,25.92592593,43.25101489,5.684586649,88.9,429.4,755,84.47934933,ALABAMA,GENEVA,AL,352.5013799,8.132637902,0,0,93.66666667
146,1092,138,38,0,1895.323466,3,150,37,1,126,1014,150,1133,8,775,25,347,189,125,22,3054,692,0.093940817,1838,95,1891,16.74177558,5,2594,1212,2208,2389,1324,864,119,8876,22.6,100,22.01704546,52.74173294,609,67.5,30,0,1450,3.021139734,285,20,49.45652174,5.570409982,82,1636.6,85,17.45320031,ALABAMA,GREENE,AL,1111.286255,18.26678642,0,0,94
185,2139,201,67,0,35.66001596,1,306,15,2,197,1419,306,2062,66,965,25,560,330,226,49,5663,1443,0.445494431,3527,162,4355,16.34390434,11,5260,2248,3895,4428,2451,1442,248,15388,22.6,89.16878173,16.50983747,44.48961156,725,67,24.3,0,1378,6.303134099,504,44,54.91655969,5.817245817,82.8,1199.7,756,39.56151194,ALABAMA,HALE,AL,415.059904,15.75120103,0,0,70.5
114,1239,117,75,0,172.8132423,5,283,37,5,189,1120,283,2740,159,785,13,515,418,247,38,7057,2208,0.973787359,3913,233,5595,19.22832186,5,6351,2244,3806,3856,2463,1318,274,17287,16.3,87.75286094,11.79564237,49.01452282,372,72,15.6,0,599,7.957093301,451,38.46153846,32.55386232,6.031746032,87.5,654.7,91,67.97910808,ALABAMA,HENRY,AL,311.4173382,0,0,0,53.33333333
795,10011,833,322,58,7445.464295,78,1365,69,60,1266,7114,1365,12843,675,4835,68,3168,1879,1182,117,45224,14085,0.712280776,26246,1100,38369,15.2269782,22,43767,12856,24618,22956,13917,9536,1271,103402,19.8,33.80405133,12.71197581,55.14898066,789,71.14555468,17,8.513149146,1918,7.022393868,1326,32.35294118,40.66536681,4.599579734,65.1,776.6,2650,68.36026361,ALABAMA,HOUSTON,AL,534.0424757,5.430802041,0,0,488.6666667
106,2700,365,250,35,2174.282572,29,1017,40,15,625,2883,1017,7815,317,2630,74,1817,1307,704,129,25697,6013,0.630394146,12949,723,18728,17.54088157,19,21470,7469,11766,11763,8104,4216,657,53019,22,77.01730325,12.42030697,53.13270424,1302,79.51750381,13.9,9.361142166,633,7.976405467,1734,25.67567568,22.94747578,5.742719635,93.6,198.9,1313,89.99248544,ALABAMA,JACKSON,AL,241.5443624,5.08176289,0,0,127
5636,64980,7644,2604,480,75209.93406,647,9946,603,505,7480,42170,9946,49354,10247,45180,496,20692,5612,8657,833,305558,116658,1.668234995,177321,3750,242989,13.57542094,80,289317,76797,153860,156413,84467,66148,8915,660009,22.6,9.833765145,17.34756566,47.82211197,1250,72.71435782,19.1,10.44519374,1643,6.180426967,1100,16.12903226,42.23319901,5.431843137,79.3,855.3,2434,51.32912574,ALABAMA,JEFFERSON,AL,697.5263586,17.4739387,0,0,4488.333333
44,1215,106,61,10,52.19318532,1,291,37,3,177,944,291,2397,44,540,13,401,321,198,30,5296,1553,0.321778558,3372,201,4780,19.74191739,4,5614,1751,3223,3151,1933,1159,184,14259,21.5,100,9.083263246,56.17264361,1548,72.5,16.4,9.628994829,1021,7.86395423,443,30.76923077,37.69779708,6.049495875,82.7,307.5,1196,85.94284916,ALABAMA,LAMAR,AL,53.21851037,0,0,0,7.333333333
418,6045,686,336,64,5172.541611,46,1345,48,45,813,5690,1345,13306,762,5565,75,2962,1762,977,115,44351,12717,0.872023162,21922,1147,32960,17.55094984,23,38265,10625,19754,22872,11483,6826,1096,92542,19.3,49.29510619,14.75540236,35.54564533,1259,81.44708029,15,10.04823151,2145,7.602457012,1868,30.66666667,30.60139719,4.762368998,73.2,450.5,2048,85.27567638,ALABAMA,LAUDERDALE,AL,159.3373888,5.96613746,0,0,146.3333333
216,2857,275,173,34,564.6905246,9,610,17,2,432,2186,610,5151,98,1295,57,1232,983,518,79,15246,4231,0.305858119,8514,515,11876,15.79289556,17,13408,4644,7872,8296,5104,2759,455,33838,25,91.28978712,9.656972409,52.07328833,1501,79,14.8,14.1711542,834,8.049692003,521,29.8245614,36.29319106,6.32864997,101.1,633.1,927,76.65072893,ALABAMA,LAWRENCE,AL,227.9672115,6.668778447,0,0,78.33333333
836,9201,889,315,48,15920.39105,67,1336,74,42,1094,6687,1336,11277,2185,10085,107,4316,1607,1892,142,68739,24321,1.64964176,37163,974,51174,9.656586784,31,62731,19689,30942,45708,21210,11108,1610,147257,17.1,27.40949896,18.67073961,23.934541,363,86.91428571,17.2,5.200855974,622,6.566382676,1945,28.97196262,29.73628078,5.660095133,46.7,582.7,1039,69.50341273,ALABAMA,LEE,AL,237.239103,7.259528131,0,0,329.6666667
273,5517,637,254,53,3269.77431,24,972,41,24,787,3881,972,8633,1480,3590,89,2491,1254,1227,129,40004,12959,1.899603394,23459,791,30003,13.04332945,27,34598,10655,19875,17265,11749,6884,925,87654,25.4,57.60914208,11.95471196,45.58355054,324,82.01621622,13.4,9.933408677,693,8.090040084,464,30.33707865,27.75849057,5.895070626,64.7,319.8,876,78.31398543,ALABAMA,LIMESTONE,AL,108.7523033,5.622684157,0,0,88.33333333
114,1585,166,55,0,2962.513063,1,237,11,9,219,1115,237,1418,23,1010,33,580,242,160,38,4114,1128,0.216981132,2481,124,2834,15.7225753,13,3618,1505,2762,3456,1646,1215,152,10857,35,100,24.01902497,63.36805556,1178,62.5,29.2,0,650,2.635514225,163,39.39393939,57.38595221,5.65970994,93.7,1022.7,463,24.84924849,ALABAMA,LOWNDES,AL,510.4645227,22.69605208,0,0,60
252,2711,197,101,0,4121.53955,9,403,21,5,293,1882,403,2141,87,1495,29,837,303,199,50,8547,2220,0.432771228,4281,198,5751,15.42731921,12,7700,2438,4215,8500,2591,1708,244,20535,19.1,55.54726832,18.75784191,34.47058824,1191,86,28.2,0,844,3.560185314,2081,41.37931035,64.31791222,4.407530454,93.2,1189.7,2567,15.66492245,ALABAMA,MACON,AL,513.8698351,28.6680436,0,0,110.5
1688,25051,3010,901,143,27134.82183,292,3763,199,187,2760,13621,3763,36377,4256,15055,212,10704,4526,3992,372,171797,62185,1.356061813,88504,2945,136358,12.87542264,58,158460,39648,78373,81528,43122,28952,4635,343080,20.6,16.44151477,11.89507368,33.85340006,524,73.83387271,15,6.466635102,1996,7.34102617,1214,27.35849057,31.96381407,4.865681829,55.8,496.3,1950,66.06736479,ALABAMA,MADISON,AL,496.5403164,5.381325715,0,0,1645
150,2272,228,73,0,3183.291705,8,365,12,5,279,1730,365,2818,32,1420,32,713,474,319,40,7622,2556,0.162924495,4648,242,6158,17.79324543,7,7363,2746,4956,5685,3029,1863,347,20401,23.4,69.31564179,16.71571513,49.07651715,169,86.91642651,22.6,0,837,5.098039233,101,21.875,45.84342212,6.128722382,68.5,724.9,1998,45.63505483,ALABAMA,MARENGO,AL,449.3952288,6.67200427,0,0,94
86,2021,210,151,10,195.7682508,11,572,24,6,411,1982,572,4533,132,1320,29,1027,788,346,69,11266,3427,0.456842251,7236,400,9532,19.2171992,1,11411,3947,6517,6459,4258,2343,383,30327,20.8,88.85495191,10.35700275,63.6321412,48,72.90469974,16.4,4.651638772,1078,7.835200472,207,3.448275862,31.01120147,5.028338904,98.1,280.5,1392,92.53447768,ALABAMA,MARION,AL,189.8741124,5.581966527,0,0,57.66666667
193,7374,819,337,51,6102.726107,52,1559,79,29,1515,8359,1559,12738,4836,4785,108,2837,1668,1873,172,40310,10545,5.603318425,23577,1110,29340,15.41740525,31,37109,15377,23314,20783,17055,10116,1174,94776,18.9,53.26868704,13.89574561,72.89611702,27,82.44633731,14.4,8.15002437,502,7.620435427,1715,28.7037037,31.62906408,7.644273937,74.2,205,637,83.34148052,ALABAMA,MARSHALL,AL,263.6935938,3.355892388,0,0,242.6666667
3191,44579,4960,1728,330,43729.81805,252,6242,327,194,6059,31097,6242,31116,4534,26180,330,15617,4116,5903,666,186408,59459,1.180526264,104874,2611,143727,13.68206679,125,169895,60330,102077,104864,65567,41816,5631,413936,24.4,20.02024252,17.07762557,57.77960024,1157,64,19.6,11.62088858,2194,6.167062063,1589,37.87878788,43.67193393,5.540329998,84.6,773.4,1970,58.78904501,ALABAMA,MOBILE,AL,654.2754296,14.05071074,0,0,2697.333333
130,2921,292,103,11,3909.232972,8,385,12,5,351,1814,385,2720,70,1425,39,912,419,372,66,7432,2136,0.324119091,5246,216,6777,16.74188125,16,7996,3172,5760,6046,3504,1972,340,22602,23.8,79.0445639,15.50598477,58.05491234,355,79,24.6,6.700371566,965,4.512303958,238,41.02564103,50.71180556,6.261572126,88.2,571.2,422,54.64682383,ALABAMA,MONROE,AL,541.1156711,10.96424438,0,0,118.6666667
2964,27437,2774,669,80,25876.15529,207,2920,235,142,3210,17427,2920,19866,4024,15855,145,8000,2385,3097,237,103607,38019,1.885333846,62052,1558,84351,12.43411877,50,99515,29520,55939,57992,32111,23370,2044,230149,22.1,10.49123006,17.86076377,55.35246241,1422,66,21.8,5.043436598,1858,5.656827264,1178,34.48275862,49.04807022,5.127653234,58.7,1277.4,2308,37.8918546,ALABAMA,MONTGOMERY,AL,379.997492,14.05857952,0,0,868.6666667
624,9132,992,449,129,4196.591136,68,1718,87,56,1387,6572,1718,14833,3369,5655,81,3994,2215,2104,188,56840,16783,3.014090807,31128,1247,44270,14.97902737,19,51855,16781,28416,27198,18698,10758,1662,120395,26.6,38.59737217,12.19407008,50.99639679,90,70.72322503,14.6,15.82829854,2208,7.896198644,1686,23.45679012,32.13682432,7.130994747,76.4,520.2,1442,77.20705859,ALABAMA,MORGAN,AL,224.3579856,4.294499605,0,0,266.6666667
128,1632,142,40,0,592.7410004,2,200,37,3,187,1245,200,1286,24,785,22,446,207,193,29,3457,780,0.245649949,2155,112,2225,17.23799234,12,2828,1418,2558,3379,1596,1048,146,10181,22.6,100,20.49608355,55.34181711,803,87.5,29.3,0,568,4.75062607,711,54.54545455,63.79984363,7.363601679,74.8,1234,921,29.81254163,ALABAMA,PERRY,AL,463.6200208,0,0,0,49
162,2235,197,75,12,418.9662613,7,342,26,2,199,1488,342,2868,229,1105,19,692,444,298,44,7706,1916,1.239781279,4402,239,5695,17.7531564,7,6765,2521,4585,4820,2790,1628,240,19405,30.4,100,13.79525593,41.28630705,380,75,22.3,8.559201141,1503,6.505500254,201,36.84210526,48.74591058,6.465610762,75.3,837.3,4,55.89799184,ALABAMA,PICKENS,AL,236.8971659,0,0,0,45.66666667
339,3030,268,118,16,1899.79273,16,483,22,9,373,2186,483,3451,280,2555,44,1079,506,417,62,15484,4200,0.904918881,7320,307,11582,13.43499488,17,13890,5096,6594,11520,5457,2836,326,33182,21.2,51.67938235,19.63119478,32.37847222,838,69.98466258,21.4,7.205811487,709,6.306697178,1894,38.63636364,45.95086442,6.052249637,73.4,1029.9,1771,57.33438726,ALABAMA,PIKE,AL,410.1714227,6.755448269,0,0,132
